NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth,Weekly passenger count 2024,Useful code
Abbey Road,477,291,539077,183399,n/a,DLR,3,0.005308217,51.5318653,,,,,,,,,,,,,,,,,,9.03,6.03,,,,,26803,"IF(NETWORK Abbey Wood=""Tramlink"","""",INDEX(Table 1::Q,ROW(cell)−COUNTIF(G$3:G3,""Tramlink""),column-index,area-index))"
Abbey Wood,511,505,,,n/a,Elizabeth Line,4,0.1214,51.491,,,,,,,,,,,,,,,,,,,,,,,21.04,300194,
Acton Central,162,258,520632,180296,n/a,London Overground,3,-0.261566477,51.50821824,,,,,,,,,,,,,,5,,,,,,,,,,33041,
Acton Main Line,501,495,,,n/a,Elizabeth Line,3,-0.2668,51.5171,,,,,,,,,,,,,,,,,,,,,,,15,56182,
Acton Town,204,225,519478,179592,"District, Piccadilly",London Underground,3,-0.278432824,51.50213702,,,,3,,,,,11,,,,,,,,,,,,,,,103940,
Addington Village,421,455,537066,163744,n/a,Tramlink,6,-0.031284121,51.35570988,,,,,,,,,,,,,,,,,,,,,,4,,,
Addiscombe,425,422,534188,166297,n/a,Tramlink,5,-0.07162576,51.37934189,,,,,,,,,,,,,,,,,,,,,516,,,,
Aldgate,84,6,533613,181262,"Metropolitan, Circle",London Underground,1,-0.0742363,51.51398203,,,19,,,,23,,,,,,,,,,,,,,,,,148617,
Aldgate East,249,61,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653,,,,25,19,,,,,,,,,,,,,,,,,,,235895,
All Saints,448,170,537979,180993,n/a,DLR,2,-0.011456278,51.51051157,,,,,,,,,,,,,,,,,,,,12.02,,,,36240,
Alperton,13,309,517996,183795,Piccadilly,London Underground,4,-0.298361133,51.54022715,,,,,,,,,11.04,,,,,,,,,,,,,,,55992,
Amersham,284,472,496372,198181,Metropolitan,London Underground,9,-0.606146762,51.67366188,,,,,,,1,,,,,,,,,,,,,,,,,37266,
Ampere Way,406,365,530664,166485,n/a,Tramlink,4,-0.122172554,51.3818536,,,,,,,,,,,,,,,,,,,,,11,,,,
