NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth
Abbey Road,477,291,539077,183399,n/a,DLR,3,0.005308217,51.5318653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0300000,6.0300000,,N/A,N/A,N/A
Abbey Wood,511,505,,,n/a,Elizabeth Line,4,0.121400000,51.4910000,,,,,,,,,,,,N/A,N/A,,N/A,N/A,N/A,,,N/A,N/A,N/A,21.0400000
Acton Central,162,258,520632,180296,n/a,London Overground,3,-0.261566477,51.50821824,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,5.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A
Acton Town,204,225,519478,179592,"District, Piccadilly",London Underground,3,-0.278432824,51.50213702,,,,3.0000000,,,,,11.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acton Main Line,501,495,,,n/a,Elizabeth Line,3,-0.266800000,51.51710000,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,15.0000000
Addington Village,421,455,537066,163744,n/a,Tramlink,6,-0.031284121,51.35570988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,4.0000000,N/A
Addiscombe,425,422,534188,166297,n/a,Tramlink,5,-0.07162576,51.37934189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,516.0000000,,N/A
Aldgate,84,6,533613,181262,"Metropolitan, Circle",London Underground,1,-0.0742363,51.51398203,,,19.0000000,,,,23.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aldgate East,249,61,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653,,,,25.0000000,19.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
All Saints,448,170,537979,180993,n/a,DLR,2,-0.011456278,51.51051157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,12.0200000,N/A,N/A,N/A
Alperton,13,309,517996,183795,Piccadilly,London Underground,4,-0.298361133,51.54022715,,,,,,,,,11.0400000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Amersham,284,472,496372,198181,Metropolitan,London Underground,9,-0.606146762,51.67366188,,,,,,,1.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ampere Way,406,365,530664,166485,n/a,Tramlink,4,-0.122172554,51.3818536,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.0000000,,N/A
Anerley,349,375,534617,169899,n/a,London Overground,4,-0.06410424,51.411617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,19.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Angel,331,59,531561,183100,Northern,London Underground,1,-0.103116359,51.5309796,,,,,,,,13.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Archway,301,107,529364,186721,Northern,London Underground,2,-0.13344404,51.56403452,,,,,,,,10.0300000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arena,428,366,535194,167627,n/a,Tramlink,4,-0.056679487,51.39105665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,519.0000000,,N/A
Arnos Grove,22,310,529355,192498,Piccadilly,London Underground,4,-0.131434823,51.61595478,,,,,,,,,35.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arsenal,21,80,531305,186112,Piccadilly,London Underground,2,-0.105674399,51.55811105,,,,,,,,,29.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avenue Road,432,370,535745,169322,n/a,Tramlink,4,-0.048118188,51.40615963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,522.0000000,,N/A
Baker Street,92,14,527955,182064,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",London Underground,1,-0.155454387,51.52249387,17.0000000,,11.0000000,,11.0000000,14.0000000,15.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Balham,304,238,528480,173244,Northern,London Underground,3,-0.151090206,51.44310998,,,,,,,,26.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bank,47,35,532710,181120,"Waterloo & City, Northern, Central",London Underground,1,-0.08729695,51.51291511,,23.0000000,,,,,,16.0000000,,,2.0000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bank (DLR),473,67,532709,181114,n/a,DLR,1,-0.087316571,51.51286207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,13.0000000,16.0000000,N/A,N/A,N/A
Barbican,87,9,532004,181856,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.097189673,51.51969921,,,16.0000000,,16.0000000,,20.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barking,200,328,544359,184382,"District, Hammersmith & City",London Underground,4,0.081813552,51.53937511,,,,35.0000000,29.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barking (Overground),368,378,544422,184332,n/a,London Overground,4,0.082703641,51.53890805,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,12.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
Barking Riverside,515,509,,,n/a,London Overground,4,0.114764000,51.51910800,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,13.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
Barkingside,62,321,544799,189494,Central,London Underground,4,0.090259547,51.58519895,,29.0500000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barons Court,243,131,524046,178328,"District, Piccadilly",London Underground,2,-0.213088174,51.48978737,,,,9.0000000,,,,,14.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Battersea Power Station,485,479,,,Northern,London Undergound,1,-0.142198000,51.47970800,,,,,,,,10.0012000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bayswater,95,17,525843,180823,"District, Circle",London Underground,1,-0.186322701,51.51181507,,,35.0000000,11.0003000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beckenham Junction (Tramlink),434,372,537365,169843,n/a,Tramlink,4,-0.024636241,51.41045194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,524.0000000,,N/A
Beckenham Road,433,371,536190,169660,n/a,Tramlink,4,-0.04159356,51.40909636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,523.0000000,,N/A
Beckton,435,272,543165,181514,n/a,DLR,3,0.063442568,51.51390419,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000000,,,N/A,N/A,N/A
Beckton Park,436,273,542705,180873,n/a,DLR,3,0.056557435,51.50826026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0000000,,,N/A,N/A,N/A
Becontree,108,380,547628,184527,District,London Underground,5,0.128978641,51.53983401,,,,37.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beddington Lane,404,363,529316,167236,n/a,Tramlink,4,-0.141260885,51.38891199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0000000,,N/A
Belgrave Walk,401,360,526809,168456,n/a,Tramlink,4,-0.176840028,51.40044481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.0000000,,N/A
Belsize Park,310,111,527354,185089,Northern,London Underground,2,-0.163016956,51.54982085,,,,,,,,8.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bermondsey,291,140,534460,179416,Jubilee,London Underground,2,-0.062745893,51.49718984,,,,,,21.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bethnal Green,53,90,535044,182718,Central,London Underground,2,-0.053074702,51.52672839,,25.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bethnal Green,130,142,534721,182351,n/a,London Overground,2,-0.057862441,51.52350343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,2.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Birkbeck (Tramlink),431,369,535305,168963,n/a,Tramlink,4,-0.054580141,51.40304289,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,521.0000000,,N/A
Blackfriars,79,1,531694,180893,"District, Circle",London Underground,1,-0.102020251,51.51111447,,,24.0000000,20.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blackhorse Lane,426,423,534377,166865,n/a,Tramlink,5,-0.06870387,51.3844061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,517.0000000,,N/A
Blackhorse Road,117,206,535761,189370,Victoria,London Underground,3,-0.040174342,51.58633801,,,,,,,,,,14.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
